2023-03-15 12:14:07 configure linux-libc-dev:armhf 1:1.20230306-1 <none>
2023-03-15 12:14:07 status unpacked linux-libc-dev:armhf 1:1.20230306-1
2023-03-15 12:14:07 status half-configured linux-libc-dev:armhf 1:1.20230306-1
2023-03-15 12:14:07 status installed linux-libc-dev:armhf 1:1.20230306-1
2023-03-15 12:14:07 configure libcurl3-gnutls:armhf 7.74.0-1.3+deb11u7 <none>
2023-03-15 12:14:07 status unpacked libcurl3-gnutls:armhf 7.74.0-1.3+deb11u7
2023-03-15 12:14:07 status half-configured libcurl3-gnutls:armhf 7.74.0-1.3+deb11u7
2023-03-15 12:14:07 status installed libcurl3-gnutls:armhf 7.74.0-1.3+deb11u7
2023-03-15 12:14:07 configure raspberrypi-kernel:armhf 1:1.20230306-1 <none>
2023-03-15 12:14:07 status unpacked raspberrypi-kernel:armhf 1:1.20230306-1
2023-03-15 12:14:07 status half-configured raspberrypi-kernel:armhf 1:1.20230306-1
2023-03-15 12:14:50 status installed raspberrypi-kernel:armhf 1:1.20230306-1
2023-03-15 12:14:50 configure python3-v4l2:all 0.3.2-1 <none>
2023-03-15 12:14:50 status unpacked python3-v4l2:all 0.3.2-1
2023-03-15 12:14:50 status half-configured python3-v4l2:all 0.3.2-1
2023-03-15 12:14:51 status installed python3-v4l2:all 0.3.2-1
2023-03-15 12:14:51 configure raspberrypi-bootloader:armhf 1:1.20230306-1 <none>
2023-03-15 12:14:51 status unpacked raspberrypi-bootloader:armhf 1:1.20230306-1
2023-03-15 12:14:51 status half-configured raspberrypi-bootloader:armhf 1:1.20230306-1
2023-03-15 12:14:55 status installed raspberrypi-bootloader:armhf 1:1.20230306-1
2023-03-15 12:14:55 configure libcurl4:armhf 7.74.0-1.3+deb11u7 <none>
2023-03-15 12:14:55 status unpacked libcurl4:armhf 7.74.0-1.3+deb11u7
2023-03-15 12:14:55 status half-configured libcurl4:armhf 7.74.0-1.3+deb11u7
2023-03-15 12:14:55 status installed libcurl4:armhf 7.74.0-1.3+deb11u7
2023-03-15 12:14:55 configure libtiff5:armhf 4.2.0-1+deb11u4 <none>
2023-03-15 12:14:55 status unpacked libtiff5:armhf 4.2.0-1+deb11u4
2023-03-15 12:14:55 status half-configured libtiff5:armhf 4.2.0-1+deb11u4
2023-03-15 12:14:55 status installed libtiff5:armhf 4.2.0-1+deb11u4
2023-03-15 12:14:55 configure curl:armhf 7.74.0-1.3+deb11u7 <none>
2023-03-15 12:14:55 status unpacked curl:armhf 7.74.0-1.3+deb11u7
2023-03-15 12:14:55 status half-configured curl:armhf 7.74.0-1.3+deb11u7
2023-03-15 12:14:55 status installed curl:armhf 7.74.0-1.3+deb11u7
2023-03-15 12:14:55 configure libcamera0:armhf 0~git20230302+923f5d70-1 <none>
2023-03-15 12:14:55 status unpacked libcamera0:armhf 0~git20230302+923f5d70-1
2023-03-15 12:14:55 status half-configured libcamera0:armhf 0~git20230302+923f5d70-1
2023-03-15 12:14:55 status installed libcamera0:armhf 0~git20230302+923f5d70-1
2023-03-15 12:14:55 configure python3-libcamera:armhf 0~git20230302+923f5d70-1 <none>
2023-03-15 12:14:55 status unpacked python3-libcamera:armhf 0~git20230302+923f5d70-1
2023-03-15 12:14:55 status half-configured python3-libcamera:armhf 0~git20230302+923f5d70-1
2023-03-15 12:14:56 status installed python3-libcamera:armhf 0~git20230302+923f5d70-1
2023-03-15 12:14:56 configure libcamera-apps-lite:armhf 0~git20230301+54a781d-1 <none>
2023-03-15 12:14:56 status unpacked libcamera-apps-lite:armhf 0~git20230301+54a781d-1
2023-03-15 12:14:56 status half-configured libcamera-apps-lite:armhf 0~git20230301+54a781d-1
2023-03-15 12:14:56 status installed libcamera-apps-lite:armhf 0~git20230301+54a781d-1
2023-03-15 12:14:56 configure python3-picamera2:all 0.3.9-1 <none>
2023-03-15 12:14:56 status unpacked python3-picamera2:all 0.3.9-1
2023-03-15 12:14:56 status half-configured python3-picamera2:all 0.3.9-1
2023-03-15 12:14:57 status installed python3-picamera2:all 0.3.9-1
2023-03-15 12:14:57 trigproc man-db:armhf 2.9.4-2 <none>
2023-03-15 12:14:57 status half-configured man-db:armhf 2.9.4-2
2023-03-15 12:14:58 status installed man-db:armhf 2.9.4-2
